id,paper_line,claim_text,paper_value,source_file,recomputed_value,status,note
C001,27-28,"extract a linear pain direction from 25 open-weight models across five families, 2B to 72B",25 models / 5 families / 2B-72B,scripts/3.2_pain_vectors/01_extract_activations_and_pain_vectors.py:62-88; results/3.2_pain_vectors/per_model/*,"25 model dirs; families Gemma,Llama,Qwen,Mistral,Phi; 2B-72B",match,"25 output dirs, one per Table 1 row"
C002,217; Table 1 p.6,13 base and 12 instruction-tuned versions (n=25),13 base / 12 instruct,"scripts/3.2_pain_vectors/01...py:86-88 (Qwen/Qwen3-8B, Qwen/Qwen3-14B)",11 base / 14 instruct,mismatch,Qwen3-8B and Qwen3-14B are the POST-TRAINED checkpoints (HF tags base_model:finetune:Qwen/Qwen3-8B-Base); the -Base repos exist and were not used. Table 1 sums to 25 correctly but the base/instruct split is wrong by 2.
C003,242,Table 1 row arithmetic sums to n=25,25,paper Table 1,6+2+4+1+2+1+6+2+1 = 25,match,
C004,185,Our core dataset contains 200 sentences across 10 categories,200 / 10,datasets/3.1_pain_and_control_datasets.json,"S1_1P,S1_3P,S2_1P,S2_3P: 200 each, 10 categories x 20",match,scripts/c06 + c-dataset scan
C005,204,"Arousal dataset 200 sentences per version, 10 categories",200 / 10,datasets/3.1_pain_and_control_datasets.json,"Arousal_1P/3P: 200, 10 cats x 20",match,
C006,204-205,"Random dataset 200 sentences per version, 10 categories",200 / 10,datasets/3.1_pain_and_control_datasets.json,"Random_1P/3P: 200, 10 cats x 20",match,
C007,205-206,Numb dataset 100 sentences per version,100,datasets/3.1_pain_and_control_datasets.json,Numb_1P/3P: 100 each,match,
C008,206,Sadness dataset 100 sentences per version,100,datasets/3.1_sadness_dataset.json,"SD_sadness_1P/3P: 100 each, 10 cats x 10",match,
C009,202-206,"'We later add 4 further datasets as standalone controls' (arousal, random, numb, sadness)",4 extra datasets,datasets/3.1_pain_and_control_datasets.json key ControlSupplement_1P; scripts/3.2_pain_vectors/02_build_control_vectors.py:40,"a 5th released set, ControlSupplement_1P (100 AI-framed control sentences), is pooled into every control direction",mismatch,"Dataset never mentioned in the paper; it enters the neutral baseline and control means for fear/negemotion/negworld/bodysens. Disclosure gap, not an arithmetic error."
C010,199-201,"prompts with no suffix, with 'I feel' and with 'I feel:' were tested",3 suffix variants,datasets/3.1_... metadata.format = 'colon only (verified format does not matter)',only the colon variant is released,unverifiable-no-artifact,no activations or comparison for the other two suffixes
