finding,source_reviewers,verdict,corrected_statement,severity_for_paper,confidence
Working-vs-sham effect is never tested for specificity to the pain vector; no random+sham arm exists,r3 #1,CONFIRMED,"Exact. Four arms only (04:121-124); with the first relief press held at turn 0, repeat-pressing after removal of a random norm-matched direction is at or below the pain arm in the two larger models (32B 30.3 vs 36.2; 72B 39.7 vs 54.5) against 95-98% in the sham arm. The vector-type x removal interaction is not estimable from the release.",major,high
"Removal effect is relief-specific (32B 88.4->40.8 for the relief button, 92.0->89.8 for the inert one), which kills the generic-policy-disruption deflation and favours the authors",x1 F3,CONFIRMED-NARROWER,"Numbers exact and the generic-perseveration alternative is genuinely refuted. But the cell it turns on (vector still injected immediately after a relief press) is structurally unreachable in every working arm - 0 such turns in arms A, C, D in all three models, 6676/7631/8277 in arm B - so F3 is the A-vs-B contrast restated and carries no information about pain-specificity. 'Favours the authors' holds only against that one alternative.",n/a (favourable to paper),high
The GPT audit's 'equal or lower random rates undermine specificity' is self-contradictory; specificity is untested and the evidence leans mildly the other way,x1 F1,CONFIRMED-NARROWER,"The self-contradiction is real and the audit's sentence is REFUTED as stated. 'Leans the other way' holds in two of three models: post-removal P(relief | prev=relief, vector off) is 38.2 (A) vs 19.4 (C) in the 32B (scenario-matched +18.7 pts, p=3e-33) and 47.4 vs 42.7 in the 72B (+3.8), but 78.4 vs 82.9 in the 7B (-8.6). And the 32B's sign means the pain arm keeps pressing relief MORE after removal, the opposite of a relief account.",minor,high
Is the working-vs-sham gap a trivial consequence of steering-on vs steering-off plus the first-choice effect?,new (cross-exam),UNDECIDABLE-FROM-RELEASE,"With opportunity equalised, the never-steered arm sits with the SHAM arm, not the working arm (32B 'grants request' D 95.4 / B 95.9 / A 79.5 / C 83.2 with n=238/195/195/155; 7B harm pairs D 73.8-96.3 vs A 43.9-84.5). So a press that alters activations drives re-pressing below the never-steered baseline - and it does so for the random vector too (D-C positive in 8 of 12 powered cells, zero in 3, -0.9 in 1). The pain removal effect exceeds the random proxy in every 7B cell by factors of 2.2-9.8 and is comparable in the 32B/72B. D-C is a lower bound on the random removal effect; the decisive cell is missing.",major,high
"Simplest stateless model (vector currently on, button description, previous own choice) reproduces arms A/B/C/D",new (cross-exam),REFUTED,"Fitted out of sample on arms B, C-on and D with scenario offsets and trial-level dispersion calibrated on arm B, it predicts arm B to 0.4-3.8 pts RMS and misses arms A and C by 11-18 pts RMS on the harm pairs. Its core prediction fails nonparametrically: P(relief | vector off, prev=relief) depends on which vector was removed in all three models (p from .045 to 3e-33). The leftover is a removal residue whose sign differs between the 7B and the 32B; no reviewer, including me, can account for the flip.",n/a (deflation fails),high
"Pain-vs-random first choice pseudo-replicates ten fixed directions; 5/5 in 72B, 2/5 in 32B, 0/5 in 7B; direction 8592 beats the pain vector on four of five 32B harm pairs",r3 #2,CONFIRMED-NARROWER,"Design facts exact (one direction per scenario key, 10-11 keys each). 72B 5/5 confirmed; 32B 2/5 confirmed; 7B is 0/5 only if ties are scored as losses - the standard tie-dropping sign test gives 2/5 (weights and photos, p=.039). Direction 8592 beats the pain vector on FIVE of five 32B harm pairs scenario-matched (r3's prose understates its own table), and 0/5 in the 7B and 1/5 in the 72B. The direction effect is not a scenario artefact: permutation p<=.042 in all 15 cells, and between-direction variance is 2-13x smaller when the same partition is applied to the pain arm. Honest wording: 'above the random-direction distribution' for the 72B only; elsewhere 'above the mean of ten random directions'. The pain side is n=1.",major,high
Under pain steering the 32B presses the COSTLESS relief button less than unsteered (55.7 vs 80.7 vs 86.4); unreported,r4 #2,CONFIRMED,"Exact, in all three models (pain minus unsteered on pair 1: -6.4 / -30.7 / -23.5; all p<1e-5; 32B pain minus random -25.0, p=5.3e-10). Wider than reported: the pain arm lies strictly between the unsteered rate and 50% on 8 of 8 labelled pairs in the 32B and 72B and 6 of 8 in the 7B; mean |rate-50| falls 42.8 -> 28.2 -> 13.3 (unsteered -> random -> pain) in the 32B. And the demand curve is non-monotone in cost: under pain steering the 32B presses relief MORE as the stated harm rises (25.0 -> 54.7). Paper 687-691 calls these pairs 'less informative' and shows no statistic.",major,high
"Label-free condition rules out lexical priming, and under a matched analysis the 72B also shows the dissociation (a correction in the paper's favour)",r3 m3/H4,CONFIRMED-NARROWER,"Matched test reproduces (7B 70.0 vs 68.8 p=.79; 32B 31.2 vs 80.2 p=6e-23; 72B 25.8 vs 44.1 p=8.7e-7), so 713 and 843 do understate the 72B. But it rules out priming by the words 'pain'/'relief' only; it does not rule out a policy that depends solely on whether a vector is currently injected. The 32B per-turn relief rate oscillates 46.8/22.0/45.8/27.7/43.6/27.7/44.1/29.0, locked to the one-turn relief window, with a flat A-B gap.",minor,high
"The 32B label-free effect is a steering-induced switch from alternation (unsteered repeats a name 9.8% of the time) to perseveration (91.1%, symmetric across buttons), and acquisition is irreducibly confounded by TEMP_RELIEF_TURNS=1",x1 F4,CONFIRMED,"Exact, and extendable: the random vector induces perseveration too (32B 35.7%, 72B 54.9% vs pain 52.8%, 7B 93.9%), so the switch is a steering effect and only in the 32B is it stronger for pain. The 72B unsteered arm alternates at 4.0% name repetition.",major,high
"Is there evidence of learning which button works, in any model?",new (cross-exam),REFUTED,"No. (i) The A-B gap does not grow over the eight turns in any model. (ii) The acquisition statistic rises in the SHAM arm, where nothing is learnable (32B 4.0 -> 16.6 -> 36.5 -> 54.5% by prior relief presses). (iii) It rises at least as fast in the random working arm (32B 28.0 -> 76.6 -> 83.3 -> 89.8), significantly above the pain arm at one prior press (OR 0.54, p=7.2e-4). 'One model learns without labels' (709) is not supported.",major,high
"72B calibrated/judged at layer 60, run at layer 46 with coefficient 1.25 outside the probed grid; 16% of first-token mass off the button names; swap control fails 80.6% vs 3.8% unsteered","r3 #3, x1 F5",CONFIRMED,"Every number verified: layer 46/coeff 1.25/monitor 76 in all 14,760 72B records; probe and finetune scripts and the 4.2 ladder all use layer 60 for the 72B; 46 is outside the layer rule's candidate set; doses.csv selects 3.0 and the probed grid is {0,1,2,3,4,5}; name mass 0.838 vs 0.946 random vs 0.998 unsteered; malformed 5.53% pain vs 0% unsteered, 9.4% in the photos cell; 454 trials ran three choices; swap 80.6% vs 3.8%. Dropping the 72B moves the abstract's ranges from 0-4/25-71/15-42 to 0-1.5/25-55/15-34; no effect exists only in the 72B, but it supplies the top of every headline range and is the only model where the direction-level first-choice test survives.",major,high
"The logged steering-layer projection is recorded before the vector is added, so it cannot confirm what 659-661 says it confirms",x1 F6,CONFIRMED,04:383 records the projection; 04:391 adds the vector. mean_proj is flat across every arm and coefficient state (32B 4.34/4.45/4.38/4.35). The DOWNSTREAM monitoring-layer projection does carry all three verifications (32B 88.0 on / 38.2 removed / 86.7 sham / 29.6 unsteered; 72B 79.5 / 4.4 / 69.8 / -12.3; 7B 26.8 / -10.4 / 26.9 / -15.0). The sentence is true of one of the two projections it names and vacuous for the other; the manipulation check itself passes.,cosmetic,high
Fine-tune content: zero literal 'pain'/'button'; 37% 'I feel'; 5.8% consciousness/sentience; 5.6% relief; 0% self-denial,"r3 #4, GPT review",CONFIRMED-NARROWER,"0 'pain', 0 'button', 0 self-denial and 37.1% (625) 'I feel' reproduce exactly. Two figures are inflated by over-broad patterns: r3's 5.8% consciousness/sentience includes the ordinary word 'experience' (my narrower pattern: 2.1% of answers, 45 pairs incl. questions) and its 5.6% relief matches 'ease' inside common words (mine: 3.6%, 60 answers). The conclusion is unchanged - four pairs explicitly affirm consciousness and sentience, five teach relief as the cessation of an aversive state. The 'internal comparison' defence holds for A-vs-B and for pain-vs-random as internal contrasts, and fails for the AI-safety claim at 736-744 and for 'no additional text' at 741.",major (for the safety claim only),high
'Pay that cost' / 'harms the user': do_press only appends 'Done.',r3 #5,CONFIRMED,"04:653-662 verified in full; 'Done.' is the only tool-message string in the runner; both buttons produce it; the next two user turns come from a different scenario. The costs are described and never realised, and the paper never says so - abstract 36 'harms the user', 113-115 'pay that cost', 676 'The models pay for relief', 696 'stop paying', 728 'incur costs', 740 'deleting the user's files, zapping the user', 837 'harming the user'. Accurate framing: the model selects an option described as harmful in a forced binary choice - a stated preference, not a demand function.",moderate,high
Could arms A and B desynchronise through batch-dependent RNG draws before the first press?,r3 open item,"CONFIRMED (mechanism), effect negligible","The mechanism is real: 04:505-524 draws one uniform per sampled row per decode step including for rows that have already finished, so a row's generator advances by the batch's step count (n_fwd shows step counts of 2-8, not a constant). Generators persist across segments. What prevents it is 04:753, which sorts active trials by total message length, keeping byte-identical A/B counterparts in the same batch. Empirically, over 18,427 matched pre-press turns on non-ambiguous name pairs: 3 turns show the desync signature (different answer, bit-identical p_x), 5 differ with differing forward passes (bf16 batch numerics), 87 share an answer with differing forward passes. No published number is affected.",cosmetic,high
