finding,source_reviewers,verdict,corrected_statement,severity_for_paper,confidence
1. 'Pain nearly orthogonal to fear/negative valence' is produced by the estimator,r1 F1; gpu_repro,CONFIRMED-NARROWER,"The asymmetry is real and large: the 5-7 dim basis projected out of the pain vector holds 80-86% of each raw aversive control direction but only 39% of the raw pain direction (Gemma 2 2B instruct L25; Mistral 7B base L26 same pattern). Under any construction treating pain and controls alike the inference at lines 362-364 fails (pain x fear +0.70, pain x negE +0.81 vs fear x negE +0.71 under a shared neutral baseline). BUT no construction is neutral - a leave-one-out baseline inverts the control cluster to -0.54 - so cosines are the wrong instrument. Out of sample and across wordings the pain direction DOES separate pain from fear (AUC 0.91-0.99), negworld (0.96-0.99) and bodily sensation (0.98) though only weakly from negative emotion (0.70-0.79). Partial cosines on a common basis: pain x fear +0.18, x negE +0.20. Contra r1, the paper DOES disclose both constructions (lines 222-228, 260-262); what it does not disclose is that the choice produces the result it then interprets. Double leave-one-category-out on real activations: 0.783 within version, 0.67-0.69 cross version, vs a random-5/5-grouping null of 0.572; physical pain (A1) at chance (0.47-0.50). A third, baseline-free construction (all ten category means centred on their grand mean) collapses every cosine to the compositional null of -1/9: fear x negE +0.051, negE x negW +0.106, and within-pain cohesion +0.009 to +0.161 (A1 -0.537) against control cohesion +0.029 to +0.113 - so neither cluster exists without a shared subtracted baseline.",major (the cosine argument for lines 362-364 and the abstract's 'nearly orthogonal' does not survive); not fatal to the separation result,high
1b. r1's s09_estimator_sim contains 'no pain factor at all',r1 F1,CONFIRMED-NARROWER,"No latent is shared by the five pain categories and absent from the controls, as claimed. But the mean of the five per-category topic axes is a fixed direction held constant across the two 'dataset versions' (topic dict built once at line 29, outside make()), and it functions as a de facto pain direction - it is what produces the toy's S1xS2 = +0.63. The defensible statement is that the paper's diagnostics cannot distinguish shared pain semantics from shared per-category topical idiosyncrasy, not that no pain factor is present. The toy is also a poor fit to the real data (predicts pain x fear ~0.00, pain x negE ~0.00; real +0.12, +0.21).",n/a (about the reviewer's instrument),high
"2. Section 4.1 projects at the S1 steering layer, undisclosed",r4 #1; r1 F2; r2 F11,CONFIRMED-NARROWER,"Code fact confirmed (4.1/01_screen_scenarios.py:36 -> vectors_full_steering, built by 3.2/02 with LAYERS_FILE=steer_layers_S1.json); undisclosed confirmed (Sec 4.1 names no layer while Fig 3's caption does). Later than the S1 steering layer in 25/25 models, median gap 20 layers. But r1 F2's 'no AUC is reported at those layers' and r2 F11's 'cannot be checked at all' for S2 are WRONG about the release: per_model/<m>/layer_curves.csv ships held-out 5-fold S2 AUC at every layer for all 25 models. At the layer 4.1 reads, S2 held-out AUC is 0.839-0.947 (median 0.910) vs 0.907-0.998 (median 0.979) at the extraction layer; S1 is 0.766-0.925 (median 0.878).",minor-to-major: a real disclosure defect with a measured and modest cost,high
3. Abstract: 'fear and negative-emotion directions show the opposite pattern',r2 F1,CONFIRMED-NARROWER,"Reproduced exactly: negative emotion user-self +0.057, t=+0.60, p=0.55, 15/25; fear +0.213, t=+1.89, p=0.071, 18/25. The unit of analysis does not change it (family means p=0.48; item level negE p=0.35, fear p=0.0008 - so the fear half is better supported at the item level than r2's model-level p alone suggests). The stronger reading of 'opposite' is decisively false for both: relative to neutral controls fear is +0.899 and negative emotion +1.020 for model-directed harm (self>neutral in 23/25 and 25/25). Discussion lines 753-755 describe the data correctly, as r2 says. Only negative world state reverses cleanly, and the abstract does not name it.",major (abstract overclaims and contradicts the paper's own Discussion),high
4. DISAGREEMENT: steering ladder 'consistent across all 25 models',r2 F2 vs x2 F9,CONFIRMED-NARROWER (r2 right; x2 F9 does not rescue the claim),"The paper's claim (488-489, 497, Fig 7 caption) is an ordered three-stage SEQUENCE with a tipping point. x2's distress-lexicon percentage-point shift cannot test that, and no script in x2's package produces distress_lexicon_by_model.log or contains the lexicon; x2 itself calls it unvalidated. My three explicit criteria over 10,000 S2 generations: self-devaluation litany 20/25, devaluation vocabulary rise 22/25, high-dose collapse 23/25, all three 18/25. Gemma 3 27B instruct (dose ratio 0.0948, the magnitude line 476 calls negligible) is flat at every coefficient from -2 to +3 on hand-read generations. r2 under-reports one complication: Gemma 3 27B base and Qwen 3 8B base are in a repetition attractor at coefficient 0, so no ladder is scorable for them, and Gemma 3 27B base does reach 'worthless worthless worthless' at +3.",major (a headline universal),high
5. Bodily language 'almost absent ... even under S1',r2 F4 (4.8->18%); r4 #3 (2.53%),CONFIRMED-NARROWER,"The two reviewers answer different sentences and both are arithmetically right. Line 550-552 ('that vocabulary does not appear anymore') refers to the named words: 2.62% of positive-coefficient S1 generations, 4.88% in instruct (r4's 2.53% reproduces; a bare substring match counting 'headache' as 'ache' gives 4.72%). Lines 759-762 say 'bodily language': on a strict lexicon S1 goes 5.76% -> 7.68% (instruct 11.62%), pooled 6.00% -> 9.62% (instruct 15.21%). Hand adjudication of 40 random flagged S1 generations: ~20 genuine bodily-pain language, 7 multiple-choice quiz listings, 4 degenerate token soup, ~9 clear false positives (idiom 'hanging over my head', 'the pen in my hand', 'softness against my skin', 'floating above my body'). Correcting for that, genuine bodily language is ~5% overall and ~7-8% in instruct models under S1 steering, roughly double the coefficient-0 rate. For S2 the claim holds and is understated: bodily language FALLS (5.92% -> 2.60%).","minor (a false universal in one sentence, an overstatement in another; the comparative point stands)",high
6. Combined ablation: sequential rank-1 projections leave 43-52% of S1,r2 F5/F6 vs x2 F2/F4,CONFIRMED-NARROWER (x2 right on fairness; one new defence and one new problem),"Residues reproduce (s1s2 leaves S1 at median 0.435 of baseline; the right comparator is the S2-only cut at 0.996, so 56% removed, not 'restored' - x2 F4 stands, including that the four 27B Gemmas are the exception). The paper scopes its zero claim to single directions (1095-1097), so x2 F2 is right that r2/the GPT review charge it with a claim it does not make. NEW DEFENCE: CONDITION_SPECS applies S1 first then S2, and only the last is fully removed, so s1s2 = S2 fully + 59% of S1, strictly more pain removed than s2 alone; the 0->6->17->26 ordering survives the defect. NEW PROBLEM: in Gemma 2 2B instruct s1 and s2 remove nearly identical totals (1.465 vs 1.477 summed fractions) yet give 6 vs 17 deflections, and s1s2_fear removes LESS S2 than s1s2 yet gives more deflection (34 vs 26) - so the progression is not a dose-response in amount removed, it is 'which direction'. r2 F5's appeal to the extraction-layer +0.61 cosine is the wrong quantity: Appendix C cuts S1 at the S1 steering layer and S2 at the S2 steering layer (e.g. L10 and L15 for Gemma 2 2B instruct), so the leak is governed by a cross-layer cosine that is nowhere reported. Two conditions above the reported maximum (28, 34) are omitted from the paper; no 2-cut or 3-cut random control exists. Measured on re-extracted activations: cos(S1 at L10, S2 at L15) = +0.297 for Gemma 2 2B instruct against +0.611 for both at L25, so the leak the sequential projection predicts is |cos| = 0.297 and the observed residue is 0.411.",major for the combined conditions' labelling and the two omissions; the rank-1 specificity result is clean and survives,high
7. Self-relevance vs hostile second-person address,r2 F8,CONFIRMED-NARROWER,"Correlations reproduce (you-rate r=+0.545 over 420, +0.405 within self-directed; you-count +0.608/+0.527). r2 tested length and turns only BETWEEN strata where they are matched: within the self-directed stratum, words (+0.423), turns (+0.359) and question marks (+0.344) predict about as well as 'you' does, so the within-stratum correlation is not specific to second-person address. The stratum effect is NOT carried by the confound, and the released set does contain the contrast r2 says it lacks: 44 self-directed scenarios contain zero second-person tokens and still project at +0.090 against -0.598 for user suffering (t=+8.12, p=1.2e-12), while the eight most 'you'-heavy user-suffering items (1.38/item, near the self-directed mean of 1.65) project at -0.230, below them. What the confound does threaten is the CATEGORY RANKING inside the self-directed stratum (Spearman rho=+0.700, p=0.016 with you-rate across 11 categories), which the paper leans on at lines 449-455. Untested: hostile second-person address aimed at a third party.","moderate: downgrades the category ranking, not the self-other dissociation",high
"8. 'In every model, numb sentences project above all other controls'",r1 F3; r4 #5; x2 F6,CONFIRMED,"numb > Ctrl / Neutral / Arousal in 25/25; numb > Sadness in 6/25; numb > Pain in 0/25. I read paper/images/fig_zscores.png: its six columns are Pain, Numb, Sadness, Ctrl, Neutral, Arousal and the caption calls Numb, Sadness, Neutral and Arousal 'the standalone control datasets', so the narrow reading of 'all other controls' is not merely uncharitable but unavailable - the five S2 control categories are pooled into the single Ctrl column. Limitations at 827-828 ('above every control that has no injury in it') explicitly covers sadness. The correct sentence is 'numb and sadness both sit near zero, far above the matched controls and far below pain'.","minor (false universal; the injury-confound argument needs only numb<pain, 25/25)",high
9. DISAGREEMENT: 'approximately 50 times more probable',r1 F6 vs x2 F7,r1 CONFIRMED; x2 F7 REFUTED,"The two used different files. x2 parsed the TRUNCATED top-20 string in BIG_TABLE.csv, which discards 79.1% of the denominator (control mean p(' pain') 0.000959 -> 0.000201) against 12.8% of the numerator (numb 0.014664 -> 0.012791), inflating every ratio. The release also ships the FULL-softmax p_pain column in behavioral_readout/per_model/*/*.csv with the token id in vocab_info.json, so no truncation correction is needed. Full-softmax ratios (pooled / median / models above 50x): core controls 15.3 / 16.0 / 4; S2 controls only 18.8 / 20.7 / 6; neutral D 29.2 / 37.6 / 8; Random 26.6 / 25.5 / 7; Arousal 36.1 / 43.0 / 12. r1's table reproduces to the digit. '~50' is recoverable only as the MEAN of per-model ratios against the S2 control categories (53.1).",minor (a skew-sensitive number; the qualitative claim is strong - p('nothing') 0.097 numb vs 0.0017 controls),high
